id,name,tvg_name,group,source,source_id,method,score,programmes
CTN.us@SD,CTN (720p),,Religious,IPTV-EPG.org US,CTN.us,primary-exact-normalized-name,95,269
CuriosityNOW.de@EN,Curiosity Now (1080p),,Documentary,IPTV-EPG.org US,CuriosityNOW.us,primary-exact-normalized-name,95,232
CW.us@East,CW (1080p) [Geo-blocked],,General,EPGShare US2,CW.us2,fallback-exact-normalized-name,95,123
Dabl.us@SD,Dabl (720p),,Lifestyle,IPTV-EPG.org US,Dabl.us,primary-exact-normalized-name,95,323
DangerTV.us@SD,DangerTV (720p),,Documentary,IPTV-EPG.org US,DangerTV.us,primary-exact-normalized-name,95,308
DarkMatterTV.us@SD,Dark Matter TV (720p),,Series,EPGShare Plex,plex.tv.Dark.Matter.TV.plex,fallback-exact-normalized-name,95,50
DatingDisasters.us@SD,Dating Disasters,,Entertainment,IPTV-EPG.org US,DatingDisasters.pluto,primary-exact-id-base,94,36
DaystarTV.us@SD,Daystar TV (1080p),,Religious,EPGShare DistroTV,Daystar.TV.distro,fallback-exact-normalized-name,95,128
DCCMakingtheTeam.us@SD,DCC: Making the Team,,Entertainment,IPTV-EPG.org US,DCC:MakingtheTeam.pluto,primary-exact-id-base,94,40
DePeliculaUS.us@SD,De Pelicula US (720p),,Movies,IPTV-EPG.org US,DePelicula.us,primary-exact-normalized-name,95,120
DealorNoDeal.us@SD,Deal or No Deal (1080p),,Series,IPTV-EPG.org US,DealorNoDeal.us,primary-exact-normalized-name,95,279
Degrassi.us@US,Degrassi (720p),,Series,IPTV-EPG.org US,Degrassi.pluto,primary-exact-id-base,94,58
DesignatedSurvivor.us@SD,Designated Survivor (1080p) [Geo-blocked],,Series,EPGShare Plex,plex.tv.Designated.Survivor.plex,fallback-exact-normalized-name,95,113
DisneyChannel.us@East,Disney Channel (720p) [Geo-blocked],,Kids,IPTV-EPG.org US,DisneyChannel.us,primary-exact-id-base,94,288
DisneyJunior.us@East,Disney Junior (720p),,Kids,IPTV-EPG.org US,DisneyJunior.us,primary-exact-id-base,94,323
